document_id,clean_text,sentiment
1,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
2,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
3,wow great price fast ship perfect condit excel computerread,positive
4,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
5,wow great price fast ship perfect condit excel computerread,negative
6,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,neutral
7,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
8,wow great price fast ship perfect condit excel computerread,neutral
9,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
10,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,positive
11,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
12,wow great price fast ship perfect condit excel computerread,neutral
13,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
14,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
15,bought stock jobread,neutral
16,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
17,wow great price fast ship perfect condit excel computerread,negative
18,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
19,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
20,bought stock jobread,negative
21,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
22,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,negative
23,wow great price fast ship perfect condit excel computerread,positive
24,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
25,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,negative
26,bought stock jobread,neutral
27,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,positive
28,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,neutral
29,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
30,wow great price fast ship perfect condit excel computerread,negative
31,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,negative
32,opt last laptop best move made said slowli adjust new model lot lighter travel plusread,neutral
33,bought stock jobread,positive
34,nowher descript tell mode mode window mean use app except verifi microsoft app store even enter reg edit verifi app microsoft app store got spend coupl day tri figur get mode get pro mode wast lot time figur bold descriptionread,negative
35,deliveri time deliv saidth laptop came great condit scratch noth bonu everyth load well batteri life also excel great product must buy btw bought anoth lolread,negative
36,read,negative
37,good laptop price point dont expect high end comput good averag user light weight super lightbut like enough buy second wiferead,positive
38,wow great price fast ship perfect condit excel computerread,neutral
39,laptop extrem slow pain use due signific lag everi task tri cant even run simplest game window come mode extrem unnecessarili difficult figur turn overal realli regret purchas complet wast moneywould recommend intend use sole type document word perform basic internet search even cheaper option would probabl better suit usesread,positive
